addr_state,Credit Quint,Count
WY,5,4
DC,5,6
MO,5,19
MN,5,14
MI,5,18
MD,5,22
MA,5,20
LA,5,15
KY,5,5
WA,5,21
KS,5,5
IN,5,9
IL,5,50
HI,5,7
GA,5,30
WI,5,10
FL,5,66
MS,5,10
MT,5,2
VA,5,26
OK,5,6
TN,5,19
SC,5,10
RI,5,3
PA,5,27
OR,5,17
TX,5,87
OH,5,19
NC,5,37
NY,5,124
NV,5,20
NM,5,4
UT,5,4
NJ,5,37
NH,5,4
DE,5,1
VT,5,1
AZ,5,26
AL,5,6
WV,5,5
CT,5,19
AR,5,3
AK,5,5
CA,5,204
CO,5,10
KY,4,10
NV,4,16
DC,4,5
UT,4,1
LA,4,17
CO,4,23
NM,4,6
AR,4,3
MA,4,32
WA,4,25
MD,4,18
NJ,4,39
NY,4,142
CA,4,191
NH,4,2
NE,4,5
TN,4,6
MI,4,15
ND,4,1
VT,4,2
VA,4,31
MN,4,9
NC,4,21
AZ,4,24
MO,4,7
MT,4,2
KS,4,4
MS,4,4
GA,4,38
AL,4,6
WI,4,10
TX,4,77
OR,4,8
HI,4,2
SC,4,3
FL,4,64
PA,4,25
OK,4,7
AK,4,3
IL,4,39
WV,4,1
WY,4,1
OH,4,19
IN,4,13
CT,4,22
DE,4,2
ND,3,4
RI,3,17
NC,3,80
SC,3,27
AZ,3,64
SD,3,4
AK,3,10
MT,3,6
TX,3,229
WY,3,4
VA,3,70
NE,3,6
NH,3,12
OH,3,61
PA,3,105
NJ,3,166
OR,3,27
NM,3,13
AL,3,30
AR,3,23
NV,3,44
OK,3,25
NY,3,458
UT,3,15
DC,3,8
MS,3,12
ME,3,2
MA,3,100
WA,3,51
LA,3,29
KY,3,28
CO,3,82
KS,3,21
IN,3,45
IL,3,117
WI,3,25
HI,3,17
CT,3,58
GA,3,98
FL,3,230
WV,3,10
DE,3,11
MD,3,74
TN,3,42
CA,3,625
MN,3,42
MI,3,96
MO,3,47
GA,2,607
WI,2,208
VT,2,28
IL,2,804
NC,2,514
OR,2,261
CT,2,369
MO,2,244
AL,2,168
HI,2,92
PA,2,554
MI,2,461
VA,2,524
RI,2,78
FL,2,1286
TX,2,1305
SC,2,194
MT,2,51
AK,2,32
DE,2,49
SD,2,16
WV,2,48
DC,2,75
TN,2,231
OK,2,140
IN,2,255
CA,2,3474
NV,2,271
NH,2,78
ME,2,19
WY,2,26
NJ,2,850
NE,2,58
MD,2,475
WA,2,398
NM,2,87
MA,2,529
LA,2,201
MN,2,301
CO,2,386
MS,2,79
OH,2,423
UT,2,97
KS,2,117
NY,2,2379
AZ,2,424
AR,2,100
ND,2,29
KY,2,125
WV,1,1259
WY,1,559
VA,1,7654
TX,1,22499
VT,1,590
WA,1,5411
UT,1,1789
WI,1,3631
AK,1,568
TN,1,4554
SD,1,546
MA,1,6026
LA,1,3276
KY,1,2710
KS,1,2452
IN,1,4759
IL,1,10939
HI,1,1217
GA,1,9057
FL,1,18802
DE,1,761
DC,1,608
CT,1,4032
CO,1,5733
CA,1,35047
AZ,1,6145
AR,1,2114
AL,1,3512
MD,1,6356
ME,1,457
MI,1,7275
NV,1,3659
SC,1,3331
RI,1,1144
PA,1,9662
OR,1,2939
OK,1,2587
OH,1,9595
NY,1,20560
NM,1,1479
MN,1,4898
NJ,1,9579
NH,1,1343
NE,1,1017
ND,1,410
NC,1,7457
MS,1,1728
MO,1,4401
MT,1,721
